desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia,size,descripcion,superficie,colloc,precio_m2
,casa en venta merida la  ceiba algarrobos,metros_cubicos,la ceiba,,,2024-03-16 21:06:01.279679,,,13500000.0,,,,3.0,,3.0,,,la ceiba,
,casa en venta en paseos de opinchen merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,479000.0,,,,2.0,,3.0,,,,
,townhouse en venta en almavera en real montejo,metros_cubicos,real montejo,,,2024-03-16 21:06:01.279679,,,2950000.0,,,,4.0,,4.0,,,real montejo,
,casa en venta en cholul en meridayucatan,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,3380000.0,,,,2.0,,2.0,,,cholul,
,villas residenciales con domotica en cholul merida ubicado en zona norte con accesos rapidos a plazas universidades y hospitales,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3200000.0,,,,3.0,,2.0,,,,
,townhouse de lujo en patio carey modelo nardo temozon norte merida,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,3823129.0,,,,3.0,,3.0,,,temozon norte,
,casa en venta en merida en privada albare temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4980000.0,,,,2.0,,2.0,,,,
,casa en venta en merida tipo townhouse en privada milea zona country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3780000.0,,,,1.0,,1.0,,,,
,casa de una planta en venta en merida privada campo cielo modelo one floor 1 recamara,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3050000.0,,,,2.0,,2.0,,,,
,casa en venta remodelada en merida centro la ermita,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,3800000.0,,,,1.0,,3.0,,,merida centro,
,venta casa recuperacion bancaria,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,363103.0,,,,2.0,,2.0,,,,
,casa de una planta en venta en merida privada campo cielo modelo one floor 2 recamaras,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3350000.0,,,,2.0,,2.0,,,,
,casa en venta  centro  merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,4900000.0,,,,4.0,,3.0,,,merida centro,
,casa en venta en cholul en meridayucatan,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,3985000.0,,,,2.0,,2.0,,,cholul,
,casa en venta en privada al norte de merida a tan solo 15 minutos del mar,metros_cubicos,15 de mayo,,,2024-03-16 21:06:01.279679,,,1820000.0,,,,2.0,,2.0,,,15 de mayo,
,natum townhouses,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2910000.0,,,,3.0,,3.0,,,,
,kantera dzitya,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,3150000.0,,,,2.0,,3.0,,,dzitya,
,casa modelo a en las villas en el acceso a cholul merida,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2850000.0,,,,2.0,,2.0,,,cholul,
,townhouses en preventa en temozon merida,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,3040000.0,,,,2.0,,2.0,,,temozon norte,
,casa en venta en leandro valle a 1 cuadra de periferico,metros_cubicos,leandro valle,,,2024-03-16 21:06:01.279679,,,2300000.0,,,,3.0,,4.0,,,leandro valle,
,casa en venta en el centro de merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,7600000.0,,,,2.0,,2.0,,,merida centro,
,townhouses en preventa en temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2999000.0,,,,3.0,,3.0,,,,
,casa residencial en venta. modelo lumina,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1757000.0,,,,5.0,,4.0,,,,
,casa san diego cutz,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3950000.0,,,,4.0,,3.0,,,,
,casa montes de ame,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6300000.0,,,,4.0,,3.0,,,,
,el origen,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7490000.0,,,,3.0,,3.0,,,,
,casa en venta en san ramon norte,metros_cubicos,san ramon norte i,,,2024-03-16 21:06:01.279679,,,9200000.0,,,,2.0,,3.0,,,san ramon norte i,
,casa en venta en merida modelo b en vitua gran san pedro cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3580000.0,,,,2.0,,2.0,,,,
,townhouse en privada sauces dieciseis cholul merida norte,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2490000.0,,,,3.0,,3.0,,,cholul,
,casa de lujo en oku urban homes temozon norte merida norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,4100000.0,,,,3.0,,3.0,,,temozon norte,
,casa en venta en merida privada inara modelo 162,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2750000.0,,,,3.0,,3.0,,,,
,casa colonial  en venta  centro merida  santiago,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,5985000.0,,,,,,,,,merida centro,
,townhouses en venta a norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3780000.0,,,,2.0,,2.0,,,,
,ibiza  venta de hermosa casa residencial,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4599000.0,,,,3.0,,3.0,,,,
,casa en venta de 3 recamaras y family room en dzitya merida norte.,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,3500000.0,,,,3.0,,3.0,,,dzitya,
,casa de una planta en venta en merida privada inara modelo 183,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3575000.0,,,,3.0,,3.0,,,,
,casa de una planta en venta en merida. privada inara modelo 210,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4445000.0,,,,3.0,,3.0,,,,
,casa de una planta en venta en merida modelo milan en cumbres 2 dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5300000.0,,,,4.0,,3.0,,,,
,townhouse con roof top en cholul 10 santa rita cholul merida norte,metros_cubicos,santa rita cholul,,,2024-03-16 21:06:01.279679,,,2650000.0,,,,2.0,,2.0,,,santa rita cholul,
,townhouse de lujo en vitela copo santa gertrudis copo merida norte,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,2895000.0,,,,2.0,,2.0,,,santa gertrudis copo,
,preventa de casa de 2 plantas con 2 recamaras en al norte de,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3550000.0,,,,2.0,,2.0,,,,
,casa en venta en privada al norte de merida a tan solo 15 minutos del mar,metros_cubicos,15 de mayo,,,2024-03-16 21:06:01.279679,,,2030000.0,,,,2.0,,2.0,,,15 de mayo,
,casas del lago al norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3300000.0,,,,2.0,,3.0,,,,
,venta casa 3 ambientes merida centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,6000000.0,,,,2.0,,3.0,,,merida centro,
,venta exclusivo townhouse merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2590000.0,,,,2.0,,2.0,,,,
,casa en altamira yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2750000.0,,,,3.0,,3.0,,,,
,casa en venta en merida modelo a en cumbre dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4780000.0,,,,4.0,,3.0,,,,
,casa en preventa en duo temozon  temozon,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,3990000.0,,,,2.0,,2.0,,,temozon norte,
,oportunidad venta casa en merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2419000.0,,,,2.0,,2.0,,,,
,casas en venta en temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4100000.0,,,,3.0,,3.0,,,,
,casa en residencial mod. nadir plus,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2007180.0,,,,2.0,,3.0,,,,
,almasur ventura,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,991000.0,,,,1.0,,2.0,,,,
,amelia townhouses modelo b,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1750000.0,,,,2.0,,2.0,,,,
,las villas cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2860000.0,,,,2.0,,3.0,,,cholul,
,cholul townhouses con acabados de lujo en privada sauces dieciseis,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2490000.0,,,,2.0,,2.0,,,,
,casa en venta en montecristo merida,metros_cubicos,montecristo,,,2024-03-16 21:06:01.279679,,,15000000.0,,,,4.0,,3.0,,,montecristo,
,casa en venta asensa temozon norte yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4395000.0,,,,2.0,,2.0,,,,
,villas maruba en preventa cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2544444.0,,,,2.0,,2.0,,,cholul,
,casa en venta en montebello merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8300000.0,,,,3.0,,3.0,,,,
,privada xcanatun thownhouse,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3190000.0,,,,2.0,,2.0,,,,
,venta casa serapio rendon merida  solo efectivo,metros_cubicos,serapio rendon,,,2024-03-16 21:06:01.279679,,,890000.0,,,,1.0,,2.0,,,serapio rendon,
,thownhouses en venta cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,3190000.0,,,,2.0,,2.0,,,cholul,
,casa en venta sodzil norte merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,15000000.0,,,,3.0,,3.0,,,,
,casa en venta en montecristo merida,metros_cubicos,montecristo,,,2024-03-16 21:06:01.279679,,,4500000.0,,,,3.0,,2.0,,,montecristo,
,altozano residencial casa 3 habitaciones y alberca en venta,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4500000.0,,,,2.0,,3.0,,,,
,casa en venta en privada con acabados unicos en merida norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5750000.0,,,,3.0,,3.0,,,,
,privada residencial en cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3200000.0,,,,3.0,,3.0,,,,
,hermosa casa en venta en real montejo merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3500000.0,,,,2.0,,3.0,,,,
,hermosa casa en privada comodidad seguridad amenidades y ubicacion,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2457000.0,,,,2.0,,2.0,,,,
,casa inteligente modelo kaliza en cumbre dzitya merida norte,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,3150000.0,,,,4.0,,3.0,,,dzitya,
,residencia de lujo venta merida villa bonanza club d,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,27000000.0,,,,4.0,,4.0,,,,
,casa en venta merida nove dzitya,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,5800000.0,,,,4.0,,3.0,,,dzitya,
,luxury villas,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4350000.0,,,,2.0,,2.0,,,,
,hermosa casa en venta en temozon norte yucatan lenona,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7555000.0,,,,3.0,,3.0,,,,
,almasur bonanza,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1332600.0,,,,1.0,,2.0,,,,
,amaral loto,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2819000.0,,,,3.0,,3.0,,,,
,amaral malva,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2533491.0,,,,3.0,,3.0,,,,
,caucel casa en venta villa jardin 2 habit 2 banos,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,940000.0,,,,2.0,,2.0,,,,
,townhouses en venta en cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3200000.0,,,,2.0,,2.0,,,,
,townhouse en venta. merida cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2890000.0,,,,2.0,,2.0,,,cholul,
,casa country,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,22600000.0,,,,4.0,,4.0,,,,
,casa en venta. mod zenit,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2494800.0,,,,3.0,,3.0,,,,
,casa en venta temozon norte merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2679000.0,,,,2.0,,2.0,,,,
,casa en venta en santa gertrudis copo merida nativa,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,6050000.0,,,,4.0,,4.0,,,santa gertrudis copo,
,villas townhouse en venta en dzitya yucatan napoleona,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2790000.0,,,,2.0,,2.0,,,,
,villas residenciales en privada con amenidades al norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2290000.0,,,,2.0,,2.0,,,,
,casas en preventa montecristo merida villas zaguan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4735000.0,,,,3.0,,3.0,,,,
,townhouses andae dzitia,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2700000.0,,,,2.0,,2.0,,,,
,casa milea en venta zona country yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3930000.0,,,,3.0,,3.0,,,,
,casa en preventa en temozon,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6100000.0,,,,4.0,,4.0,,,,
,hermosa casa en las lomas de caucel,metros_cubicos,caucel,,,2024-03-16 21:06:01.279679,,,979000.0,,,,2.0,,2.0,,,caucel,
,casa de una planta en venta en merida modelo b en cumbre dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3900000.0,,,,3.0,,3.0,,,,
,venta casa emiliano zapata sur merida  solo efectivo,metros_cubicos,emiliano zapata sur,,,2024-03-16 21:06:01.279679,,,780000.0,,,,1.0,,2.0,,,emiliano zapata sur,
,venta de casa de lujo en temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,5550000.0,,,,2.0,,2.0,,,temozon norte,
,preventa de casa con 1 habitacion en residencial campocielo,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3050000.0,,,,1.0,,1.0,,,,
,luxury townhouses en norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2895000.0,,,,2.0,,2.0,,,,
,casas en venta temozon norte merida balea,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3890000.0,,,,3.0,,3.0,,,,
,villas en venta en montebello merida kyara,metros_cubicos,montebello,,,2024-03-16 21:06:01.279679,,,3850000.0,,,,2.0,,2.0,,,montebello,
,tzalamsalvia,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2405000.0,,,,3.0,,3.0,,,,
,el roblesalvia,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2360000.0,,,,3.0,,3.0,,,,
,margaritas 190,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5116000.0,,,,5.0,,5.0,,,,
,casa de 2 habitaciones en paseo de las fuentes merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2000000.0,,,,1.0,,2.0,,,,
,preventa de casa de una planta con dos recamaras en residenc,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3350000.0,,,,2.0,,2.0,,,,
,hermosa casa residencial  dzitya 8,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3600000.0,,,,4.0,,3.0,,,,
,botanico casa residenciar norte de merida yuc,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3165000.0,,,,3.0,,3.0,,,,
,townhouse living ayrea,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2590000.0,,,,2.0,,2.0,,,,
,casa de una planta en venta en merida modelo taro en cumbres 2 dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5200000.0,,,,5.0,,3.0,,,,
,casa en venta de una planta dzidzilha,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7350000.0,,,,4.0,,3.0,,,,
,towhouses entrega inmediata ubicados en dzitya  yucatan con todos los servicios en donde se presenta mayor crecimiento y plusvalia en merida.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2600000.0,,,,2.0,,2.0,,,,
,casa en venta en privada a tan solo 15 minutos del mar al norte de merida,metros_cubicos,15 de mayo,,,2024-03-16 21:06:01.279679,,,1480000.0,,,,2.0,,1.0,,,15 de mayo,
,hermosa casa al norte de la ciudad  margaritas 190,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5116000.0,,,,5.0,,5.0,,,,
,hermosa casa residencial  capri cholul zona diamante de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3870000.0,,,,4.0,,3.0,,,,
,preventa de casa con 4 recamaras en dzidzilha,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7450000.0,,,,4.0,,4.0,,,,
,preventa de casa de una planta con 4 habitaciones en dzidzil,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6350000.0,,,,4.0,,4.0,,,,
,townhouses en vente norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2600000.0,,,,2.0,,2.0,,,,
,casa en venta en privada al norte de merida a tan solo 15 minutos del mar,metros_cubicos,15 de mayo,,,2024-03-16 21:06:01.279679,,,1250000.0,,,,2.0,,1.0,,,15 de mayo,
,hermosas casas en cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5750000.0,,,,3.0,,3.0,,,,
,unica  hermosa casa en el norte de la ciudad,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5425000.0,,,,3.0,,3.0,,,,
,oviedo  hermosa casa residencial al norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4005000.0,,,,4.0,,3.0,,,,
,thownhouse vitela copo,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2895000.0,,,,2.0,,2.0,,,,
,hermosa casa de una sola planta cholul preventa,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5750000.0,,,,3.0,,3.0,,,,
,inara  casa residencial premium,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4445000.0,,,,4.0,,4.0,,,,
,acacias 158,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2465000.0,,,,3.0,,3.0,,,,
,castillo en el cielo increible venta de mansion colonial estilo hacienda en yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,15500000.0,,,,4.0,,5.0,,,,
,alzare,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2640000000.0,,,,3.0,,3.0,,,,
,promocion casa  casa lazuli en venta en  san sebastian en el,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4300000.0,,,,2.0,,2.0,,,,
,casa en francisco de montejo en merida en remate bancario sdc,metros_cubicos,francisco de montejo,,,2024-03-16 21:06:01.279679,,,1290835.0,,,,2.0,,3.0,,,francisco de montejo,
,increible casa en merida oportunidad unica escrituras gratis,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,550000.0,,,,2.0,,3.0,,,,
,casa58 en venta en privada el cortijo al norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13800000.0,,,,3.0,,3.0,,,,
,adquiere esta propiedad a un precio increible,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,230000.0,,,,1.0,,2.0,,,,
,casa en venta en campestre zona norte merida. mcv3,metros_cubicos,campestre,,,2024-03-16 21:06:01.279679,,,3780000.0,,,,3.0,,3.0,,,campestre,
,oportunidad de remate bancario  c 21 819,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,980000.0,,,,3.0,,4.0,,,,
,casa en venta merida country club frente al campo de golf entrega inm.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,35000000.0,,,,6.0,,5.0,,,,
,casa en venta merida privada yucatan country club kanha listo.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,32000000.0,,,,8.0,,5.0,,,,
,encantadora casa en venta en gran santa fe caucel yucatan.,metros_cubicos,gran santa fe,,,2024-03-16 21:06:01.279679,,,920000.0,,,,2.0,,3.0,,,gran santa fe,
,elegante casa art deco totalmente renovada en venta en garci,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,9700000.0,,,,4.0,,4.0,,,,
,bonita casa en evnta a un excelente precio aprovecha esta oportunidad   c. 97 775 manzana 115 97267 merida yuc.,metros_cubicos,manzana 115,,,2024-03-16 21:06:01.279679,,,396000.0,,,,1.0,,3.0,,,manzana 115,
,atencion remato hermosa casa con 3 recam en venta increible precio en cerca de parque de libelulas aprovecha inmejorable oportunidad,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1100000.0,,,,2.0,,3.0,,,,
,atencion remato hermosa casa con 3 recam en venta increible precio en cerca del tecnologico de estudios superiores de ecatepec aprovecha inmejorable oportunidad,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1100000.0,,,,3.0,,3.0,,,,
,casa32 en venta en residencial zentura en cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,4799000.0,,,,3.0,,3.0,,,cholul,
,venta casa en la rejoyada zona norte merida.,metros_cubicos,la rejoyada,,,2024-03-16 21:06:01.279679,,,7950000.0,,,,5.0,,4.0,,,la rejoyada,
,increible oportunidad,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,225000.0,,,,1.0,,2.0,,,,
,espectacular residencia amueblada en venta en club de golf l,metros_cubicos,club de golf la ceiba,,,2024-03-16 21:06:01.279679,,,26000000.0,,,,5.0,,5.0,,,club de golf la ceiba,
,hermosa casa en remate aprovecha increible precio cerca de la universidad marista de merida ultimos remates por la zona,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,820000.0,,,,2.0,,3.0,,,,
,casa en venta merida playa telchac frente al mar bocana listo,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,10864350.0,,,,4.0,,3.0,,,,
,casa en venta en merida privada yucatan country club jaguar a 8 meses.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,24950000.0,,,,7.0,,5.0,,,,
,casa en una zona tranquila y segura.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,697000.0,,,,2.0,,3.0,,,,
,casa en venta excelente oportunidad de inversion,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,540349.0,,,,2.0,,3.0,,,,
,hermosa casa con alberca en venta aprovecha esta oportunidad e invierte en tu futuro   c. 43a 559 paseo de las fuentes 97229 merida yuc.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1450000.0,,,,2.0,,3.0,,,,
,venta residencia de lujo en zona norte equipada,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,41000000.0,,,,7.0,,5.0,,,,
,remato casa en colonia montecarlo,metros_cubicos,montecarlo,,,2024-03-16 21:06:01.279679,,,1770000.0,,,,4.0,,4.0,,,montecarlo,
,casa en venta merida country club.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,29975000.0,,,,7.0,,5.0,,,,
,casa remodelada de lujo en venta en centro historico merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,28000000.0,,,,6.0,,5.0,,,merida centro,
,casa en remate bancario en calle 19 merida. 60 debajo de su valor comercial solo recursos propiso unica oportunidad  ijmo2,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,390000.0,,,,1.0,,2.0,,,,
,linda e iluminada casa oportunidad las americas merida gjrl a,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,687000.0,,,,2.0,,3.0,,,,
,casa643r1 en venta en el centro de merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,8100000.0,,,,3.0,,3.0,,,merida centro,
,casa en venta merida temozon norte  privada soluna  mod. cappa a 12 meses.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8370000.0,,,,4.0,,3.0,,,,
,casa en venta en country club merida yuc.  ccv332.,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,32000000.0,,,,6.0,,6.0,,,yucatan country club,
,estupenda e iluminada casa oportunidad gran santa fe merida mexico gjrl a,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,740000.0,,,,2.0,,3.0,,,,
,casa remodelada de 4 recamaras dentro de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4350000.0,,,,4.0,,4.0,,,,
,casa lujosa con elevador piscina y cava en venta  casa sol,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,19500000.0,,,,5.0,,4.0,,,,
,casa en venta en fontana en santa gertrudis copo,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,8500000.0,,,,4.0,,4.0,,,santa gertrudis copo,
,venta casa col francisco de montejo merida pag,metros_cubicos,francisco de montejo,,,2024-03-16 21:06:01.279679,,,1290835.0,,,,2.0,,3.0,,,francisco de montejo,
,casa en venta calle 48 francisco montejo merida recuperacion bancaria laab1,metros_cubicos,francisco de montejo,,,2024-03-16 21:06:01.279679,,,975000.0,,,,3.0,,3.0,,,francisco de montejo,
,casa en venta en el centro de merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,3500000.0,,,,1.0,,1.0,,,merida centro,
,casa en remate en calle 49 caucel merida yuc. 65 debajo de su valor comercial solo recursos propios unica oportunidad ijmo2,metros_cubicos,caucel,,,2024-03-16 21:06:01.279679,,,481250.0,,,,1.0,,2.0,,,caucel,
,vendo casa en las americas 2  merida lf,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,595326.0,,,,1.0,,3.0,,,,
,casa en venta en calle 31 a nuevo yucatan merida lf,metros_cubicos,nuevo yucatan,,,2024-03-16 21:06:01.279679,,,896000.0,,,,3.0,,3.0,,,nuevo yucatan,
,increible casa con alberca en venta  invierte en tu futuro y haz crcer tu patrimonio   c. 21b 607 gran santa fe 97314 caucel yuc.,metros_cubicos,gran santa fe,,,2024-03-16 21:06:01.279679,,,2040000.0,,,,3.0,,3.0,,,gran santa fe,
,remato casa en colonia montebello,metros_cubicos,montebello,,,2024-03-16 21:06:01.279679,,,2550000.0,,,,3.0,,3.0,,,montebello,
,casa en remate bancariobosques de yucalpeten  merida. jcbb,metros_cubicos,yucalpeten,,,2024-03-16 21:06:01.279679,,,315625.0,,,,1.0,,2.0,,,yucalpeten,
,casa en temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,41000000.0,,,,7.0,,5.0,,,,
,casa en venta en merida privada yucatan country club entrega inmediata.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,18000000.0,,,,4.0,,4.0,,,,
,casa en venta en gran san pedro cholul merida.,metros_cubicos,san pedro cholul,,,2024-03-16 21:06:01.279679,,,2080000.0,,,,2.0,,2.0,,,san pedro cholul,
,casa en merida centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,4600000.0,,,,2.0,,2.0,,,merida centro,
,en esquina casa en venta en  merida real montejo,metros_cubicos,real montejo,,,2024-03-16 21:06:01.279679,,,3313155.0,,,,3.0,,3.0,,,real montejo,
,estrena y compra esta espectacular casa en el country,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,16500000.0,,,,4.0,,3.0,,,,
,bonita casa en venta aprovecha esta oportunidad y haz crecer tu patrimonio   c. 70a 518 97314 caucel yuc.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1100000.0,,,,2.0,,3.0,,,,
,casa en venta en merida privada soluna modelo betha a  9 meses.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5250000.0,,,,4.0,,3.0,,,,
,casa en venta en priva phula en dzidzilche,metros_cubicos,dzidzilche,,,2024-03-16 21:06:01.279679,,,7350000.0,,,,3.0,,3.0,,,dzidzilche,
,house fully furnished for sale at la ceiba golf club,metros_cubicos,club de golf la ceiba,,,2024-03-16 21:06:01.279679,,,26000000.0,,,,5.0,,5.0,,,club de golf la ceiba,
,casa 3 recamaras las americas merida zona norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2567000.0,,,,3.0,,3.0,,,,
,bonita casa en venta a excelente precio aprovecha y haz crecer tu patrimonio   c. 97d 773 manzana 115 97267 merida yuc.,metros_cubicos,manzana 115,,,2024-03-16 21:06:01.279679,,,396000.0,,,,1.0,,3.0,,,manzana 115,
