desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,superficie,colonia,descripcion,mts_const,mts,colloc,precio_m2
Camporal Temozón Living,terrenos en temozon norte,goodlers,temozon norte,2713500.0,4341600.0,2024-03-20 06:38:46.719828,21.053047,-89.617622,3527550.0,,,,,,temozon norte,
Gran Nikté Yucatán,terrenos en hunucma,goodlers,,330000.0,647500.0,2024-03-20 06:38:46.719828,21.071069,-89.914339,488750.0,,,,,,,
Aldoria Terrenos,terrenos en conkal,goodlers,,860200.0,1201288.0,2024-03-20 06:38:46.719828,21.056812,-89.543378,1030744.0,,,,,,,
Stella Sisal,terrenos en sisal,goodlers,,287750.0,711875.0,2024-03-20 06:38:46.719828,21.086926,-89.928072,499812.5,,,,,,,
Mirador,terrenos en komchen,goodlers,komchen,1617000.0,2940000.0,2024-03-20 06:38:46.719828,21.107632,-89.6526,2278500.0,,,,,,komchen,
El Cortijo,terrenos en zona country,goodlers,,2804346.0,4467515.0,2024-03-20 06:38:46.719828,21.111189,-89.599469,3635930.5,,,,,,,
Campo Magno,terrenos en temozon norte,goodlers,temozon norte,1813179.0,4739934.0,2024-03-20 06:38:46.719828,21.116273,-89.623201,3276556.5,,,,,,temozon norte,
Blanca Mérida,terrenos en komchen,goodlers,komchen,645823.0,1869660.0,2024-03-20 06:38:46.719828,21.125158,-89.699893,1257741.5,,,,,,komchen,
Aranza,terrenos en santa maria yaxche,goodlers,santa maria yaxche,1903000.0,2118000.0,2024-03-20 06:38:46.719828,21.124961,-89.637277,2010500.0,,,,,,santa maria yaxche,
Aristea,terrenos en komchen,goodlers,komchen,477000.0,2827815.0,2024-03-20 06:38:46.719828,21.090372,-89.647995,1652407.5,,,,,,komchen,
Tamankaya,terrenos en carretera merida  progreso,goodlers,,1784900.0,1784900.0,2024-03-20 06:38:46.719828,21.141693,-89.64277,1784900.0,,,,,,,
Sinan Kai,terrenos en chicxulub puerto,goodlers,,300000.0,595000.0,2024-03-20 06:38:46.719828,21.232926,-89.573076,447500.0,,,,,,,
Lakuun,terrenos en komchen,goodlers,komchen,915000.0,705000.0,2024-03-20 06:38:46.719828,21.1015,-89.692896,810000.0,,,,,,komchen,
Hacienda Kikteil,terrenos en kikteil,goodlers,kikteil,1823500.0,1823500.0,2024-03-20 06:38:46.719828,21.128884,-89.689462,1823500.0,,,,,,kikteil,
Provincia Residencial,terrenos en dzidzilche,goodlers,dzidzilche,1654479.0,6404902.0,2024-03-20 06:38:46.719828,21.144014,-89.661052,4029690.5,,,,,,dzidzilche,
Zendera,terrenos en conkal,goodlers,,779000.0,779000.0,2024-03-20 06:38:46.719828,21.049253,-89.524448,779000.0,,,,,,,
,terreno en komchen,easybroker,komchen,,,2024-03-20 06:52:16.743741,,,2680000.0,,,,,,komchen,
,terreno en venta en montebello,easybroker,montebello,,,2024-03-20 06:52:16.743741,21.0306572,-89.5945502,6662700.0,,montebello,,,,montebello,
,terreno en venta en dzitya de 2500 m2,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0627856147,-89.6518814564,6750000.0,,dzitya,,,,dzitya,
,terreno venta merida 372.50m2 col. nuevo yucatan dentro de la ciudad.,easybroker,nuevo yucatan,,,2024-03-20 06:52:16.743741,20.9978135112,-89.5841074557,2150000.0,,nuevo yucatan,,,,nuevo yucatan,
,terreno en chenku sobre avenida,easybroker,,,,2024-03-20 06:52:16.743741,21.0162688,-89.6595773,11900000.0,,paseos de chenku ii,,,,paseos de chenku ii,
,terreno con vista a campo de golf ycc,easybroker,,,,2024-03-20 06:52:16.743741,21.1205215,-89.6001108,14560000.0,,,,,,,
,terreno en venta frente a lago,easybroker,,,,2024-03-20 06:52:16.743741,21.1205215,-89.6001108,9800000.0,,,,,,,
,tu oportunidad de vivir en grande descubre aira residencial,easybroker,,,,2024-03-20 06:52:16.743741,21.0515016493,-89.5456123059,1131804.0,,cholul,,,,cholul,
,terreno en temozon norte muy cerca de artisana,easybroker,temozon norte,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,1210000.0,,x canatun,,,,temozon norte,
,terreno en cholul,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0411724,-89.5550539,5250000.0,,cholul,,,,cholul,
,terreno en cholul en inara residencial,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0411724,-89.5550539,1200000.0,,cholul,,,,cholul,
,pre venta nortico residencial en kikteil merida,easybroker,kikteil,,,2024-03-20 06:52:16.743741,21.1298888,-89.6926824,837200.0,,,,,,kikteil,
,terreno de 4 mil m2 en temozon,easybroker,,,,2024-03-20 06:52:16.743741,21.0634817,-89.6110378,15899422.0,,temozon norte,,,,temozon norte,
,terrenos en venta en privada las acacias chichi suerez merida.,easybroker,,,,2024-03-20 06:52:16.743741,21.0007586,-89.5568382,504000.0,,chichi suarez,,,,chichi suarez,
,terreno en yucalpeten sobre avenida,easybroker,yucalpeten,,,2024-03-20 06:52:16.743741,20.9771516,-89.6604593,21543350.0,,yucalpeten,,,,yucalpeten,
,terreno en temozon norte esquina,easybroker,temozon norte,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,3100000.0,,x canatun,,,,temozon norte,
,terrenos en cholul dentro de privada,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0317952124,-89.5385742188,1270500.0,,sitpach,,,,cholul,
,terreno sobre carretera merida  progreso,easybroker,,,,2024-03-20 06:52:16.743741,20.9673702,-89.5925857,14000000.0,,lazaro cardenas,,,,lazaro cardenas,
,terrenos en sierra papacal,easybroker,sierra papacal,,,2024-03-20 06:52:16.743741,21.1248143,-89.7297795,1200000.0,,,,,,sierra papacal,
,terreno en temozon norte,easybroker,temozon norte,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,5675040.0,,x canatun,,,,temozon norte,
,terreno en tixcuytun,easybroker,tixcuytun,,,2024-03-20 06:52:16.743741,21.0661111,-89.5700001,13000000.0,,,,,,tixcuytun,
,terreno en tixcuytun,easybroker,tixcuytun,,,2024-03-20 06:52:16.743741,21.0661111,-89.5700001,3348500.0,,,,,,tixcuytun,
,terreno en chichi suarez,easybroker,chichi suarez,,,2024-03-20 06:52:16.743741,21.0007586,-89.5568382,3560395.0,,chichi suarez,,,,chichi suarez,
,terreno en privada cutzam dentro del yucatan country club,easybroker,yucatan country club,,,2024-03-20 06:52:16.743741,21.1200864,-89.5992616,4370000.0,,,,,,yucatan country club,
,amplios terrenos en real montejo venta,easybroker,real montejo,,,2024-03-20 06:52:16.743741,21.0382682,-89.6686901,1287750.0,,dzitya,,,,real montejo,
,ultimo terreno en real montejo junto a dzitya venta,easybroker,real montejo,,,2024-03-20 06:52:16.743741,21.0382682,-89.6686901,848200.0,,dzitya,,,,real montejo,
,terreno en venta en temozon norte merida,easybroker,temozon norte,,,2024-03-20 06:52:16.743741,21.0752900922,-89.5827341385,1525000.0,,,,,,temozon norte,
,terrenos en venta cabo norte merida,easybroker,cabo norte,,,2024-03-20 06:52:16.743741,21.0558725,-89.5915071,9920000.0,,temozon norte,,,,cabo norte,
,terrenos en venta dzitya merida.,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0644776351,-89.6544020611,1920000.0,,dzitya,,,,dzitya,
,venta de terrenos en cholul,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0535842911,-89.5444964143,1520000.0,,cholul,,,,cholul,
,amplio terreno en venta para entrega inmediata,easybroker,,,,2024-03-20 06:52:16.743741,21.1207989068,-89.6840302953,2199000.0,,,,,,,
,venta de terreno en privada en cabo norte con amenidades,easybroker,cabo norte,,,2024-03-20 06:52:16.743741,,,5227000.0,,,,,,cabo norte,
,terreno en venta en la garcia gineres,easybroker,garcia gineres,,,2024-03-20 06:52:16.743741,20.9890152,-89.632226,1428000.0,,garcia gineres,,,,garcia gineres,
,terreno en venta al sur de merida en san marcos frente al circuito metropolita,easybroker,san marcos,,,2024-03-20 06:52:16.743741,20.9220523,-89.6804455,3419775.0,,el roble,,,,san marcos,
,terreno residencial en venta en privada al norte de merida.,easybroker,,,,2024-03-20 06:52:16.743741,21.1544595279,-89.62191264,874759.0,,,,,,,
,terreno en esquina en venta en san marcos al sur de merida,easybroker,san marcos,,,2024-03-20 06:52:16.743741,20.9220523,-89.6804455,3254460.0,,el roble,,,,san marcos,
,terrenos residenciales en venta puerta xaibe,easybroker,,,,2024-03-20 06:52:16.743741,21.0987252,-89.5982084,680817.8,,,,,,,
,terrenos residenciales en venta ubicados en cholul,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0368154,-89.5699091,1309431.78,,cholul,,,,cholul,
,lotes residenciales en venta al norte de merida,easybroker,,,,2024-03-20 06:52:16.743741,21.0424858,-89.5568382,1001772.0,,cholul,,,,cholul,
,terrenos en venta ubicados en zona country de merida,easybroker,,,,2024-03-20 06:52:16.743741,21.1327777,-89.6130555,910755.19,,,,,,,
,terrenos en venta ubicados en kikteil,easybroker,kikteil,,,2024-03-20 06:52:16.743741,21.1298888,-89.6926824,1564400.0,,,,,,kikteil,
,terrenos residenciales en venta a pocos minutos de la universidad modelo,easybroker,,,,2024-03-20 06:52:16.743741,21.0277294,-89.5208718,797500.0,,sitpach,,,,sitpach,
