desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia
,venta de casa de una planta en real montejo lista para entrega,easybroker,real montejo,,,2024-02-21 13:04:12.121546,,,2600000.0,,"Casa en Dzityá, Mérida",2.0,3.0,
,casa de una planta en privada de cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,3575000.0,183.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa av rogers,easybroker,,,,2024-02-21 13:04:12.121546,21.0113353,-89.6169246,15500000.0,510.0,"Casa en Campestre, Mérida",5.0,5.0,campestre
,casa nuukan mod coati,easybroker,,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,8735000.0,374.03,"Casa en Cholul, Mérida",4.0,3.0,cholul
,casa nuukan mod. iguana,easybroker,,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,9850000.0,369.98,"Casa en Cholul, Mérida",4.0,3.0,cholul
,casa san gabriel,easybroker,,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4700000.0,239.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en renta en kilil en el yucatan country club. merida.,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,22000000.0,450.0,"Casa en Yucatán Country Club, Mérida",5.0,4.0,
,casa nuukan mod. jaguar,easybroker,,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,9850000.0,422.1,"Casa en Cholul, Mérida",4.0,3.0,cholul
,casa en venta en caucel albercaentrega inmediata,easybroker,caucel,,,2024-02-21 13:04:12.121546,21.0201875,-89.6604116,1750000.0,97.8,"Casa en Caucel, Mérida",,2.0,magnolias
,casa en venta en chenku merida  en esquina,easybroker,,,,2024-02-21 13:04:12.121546,21.0050717,-89.6545464,3400000.0,250.11,"Casa en Chenku, Mérida",3.0,3.0,residencial del norte ( chenku )
,casa en venta leandro valle merida 3 habitaciones,easybroker,leandro valle,,,2024-02-21 13:04:12.121546,20.996315,-89.5674483,2900000.0,230.0,"Casa en Leandro Valle, Mérida",2.0,3.0,leandro valle
,casa en venta en chicxulub yucatan a escasos metros del mar,easybroker,yucatan,,,2024-02-21 13:04:12.121546,21.1362559,-89.5161981,5900000.0,600.0,"Casa en Chicxulub Puerto, Mérida",3.0,4.0,chicxulub pueblo
,hermosa casa en el centro zona la mejorada,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,6900000.0,107.02,"Casa en Mérida Centro, Mérida",2.0,2.0,centro
,casa en venta en dzitya  una planta entrega nov 2023,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4695000.0,260.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,hermosa casa en venta en montebello 3 recamaras,easybroker,montebello,,,2024-02-21 13:04:12.121546,21.0306572,-89.5945502,8300000.0,382.51,"Casa en Montebello, Mérida",3.0,3.0,montebello
,casa en venta en dzitya amueblada 4 hab entrega inmediata,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,6850000.0,357.56,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,casa en venta en cholul casa nuukan  oct 23,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0424858,-89.5568382,8735000.0,374.03,"Casa en Cholul, Mérida",4.0,3.0,cholul
,hermosa casa en preventa en el centro de merida. casa neek,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,6900000.0,240.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,casa en preventa en cholul  boreana,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,3200000.0,179.0,"Casa en Cholul, Mérida",2.0,2.0,cholul
,venta casa dzitya  horizonte   450m2,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0464150746,-89.6693318144,5800000.0,450.6,"Casa en Dzityá, Mérida",6.0,4.0,dzitya
,casa en venta  merida dzitya prana entrega inmediata,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,6995000.0,335.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,hermosa casa en venta en el club de golf la ceiba casa algarrobos,easybroker,club de golf la ceiba,,,2024-02-21 13:04:12.121546,21.0950302,-89.6223124,13500000.0,432.55,"Casa en Club de Golf La Ceiba, Mérida",5.0,3.0,
,casa en dzitya  palmar pre venta enero 2024,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3350000.0,323.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,hermosa villa en venta frente al mar san benito,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,13500000.0,250.0,"Casa en Dzemul, Mérida",4.0,4.0,lazaro cardenas
,venta de casa en roble temozon mayo 2024 pre venta,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4190650.0,210.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa preventa merida prana modelo tho  4 hab,easybroker,,,,2024-02-21 13:04:12.121546,21.0619441756,-89.6671526429,7995000.0,450.0,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,casa en venta dzityamerida mod borea nuevo bellavista,easybroker,bellavista,,,2024-02-21 13:04:12.121546,21.056467901,-89.6695947647,6500000.0,510.0,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,residencia en venta  en temozon norte suntori  entrega inmediata,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,5790000.0,316.0,"Casa en Temozon Norte, Mérida",5.0,3.0,x canatun
,casa en preventa cholul con alberca inara residencial 3 habitaciones,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.03327,-89.5456404,3300000.0,244.65,"Casa en Cholul, Mérida",4.0,3.0,cholul
,casa en venta aire puro residencial dos plantas y alberca entrega inmediata,easybroker,,,,2024-02-21 13:04:12.121546,21.1384298098,-89.645402173,4995000.0,242.0,"Casa en Tamanché, Mérida",3.0,3.0,
,casa en venta en residencial en zona con alta plusvalia ibiza temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4299000.0,234.0,"Casa en Temozon Norte, Mérida",4.0,3.0,x canatun
,venta de casa residencial en zona alta plusvalia ibiza temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4599000.0,241.0,"Casa en Temozon Norte, Mérida",4.0,3.0,x canatun
,casa en preventa en esquinaen chichi suarez,easybroker,chichi suarez,,,2024-02-21 13:04:12.121546,21.0007586,-89.5568382,3200000.0,260.0,"Casa en Chichi Suárez, Mérida",4.0,3.0,chichi suarez
,casa en preventazona country club milea residencia.,easybroker,,,,2024-02-21 13:04:12.121546,21.1062013707,-89.6251344717,3880000.0,190.0,"Casa en Yucatán Country Club, Mérida",2.0,2.0,
,casa en venta en merida con 442m2 una planta grand real dzitya.,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0531785505,-89.6735575504,4400000.0,265.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,venta th de lujo sauces dieciseis en cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0424858,-89.5568382,2490000.0,164.0,"Casa en Cholul, Mérida",2.0,2.0,cholul
,casa en venta caucel una planta  entrega inmediata,easybroker,caucel,,,2024-02-21 13:04:12.121546,21.0201875,-89.6604116,1900000.0,,"Casa en Caucel, Mérida",,2.0,magnolias
,casa en preventa temozon noroasis,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,6500000.0,316.28,"Casa en Temozon Norte, Mérida",5.0,4.0,x canatun
,casa en venta privada nortemerida con amenidades l 558,easybroker,,,,2024-02-21 13:04:12.121546,21.1027582047,-89.6434593201,8900000.0,300.0,"Casa en Komchen, Mérida",4.0,4.0,komchen
,casa en venta en  amaranto residencial,easybroker,,,,2024-02-21 13:04:12.121546,21.1126871177,-89.6362495422,6500000.0,336.17,"Casa en Santa María Yaxché, Mérida",3.0,3.0,
,casa en preventa en gertrudis copo norte de merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0381057,-89.5933722,2845000.0,131.0,"Casa en Santa Gertrudis Copo, Mérida",2.0,2.0,santa gertrudis copo
,casa en preventa privada inara 3 recamaras  merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0454518569,-89.5425798543,4445000.0,210.0,"Casa en Cholul, Mérida",4.0,4.0,cholul
,casa en preventa en cholul privada capri mod. 268 nov 2023,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0433310038,-89.5447540283,3855000.0,268.0,"Casa en Cholul, Mérida",4.0,3.0,cholul
,casa en venta equipada dentro de la ciudad de merida montecristo,easybroker,montecristo,,,2024-02-21 13:04:12.121546,21.0097625719,-89.5940208435,15000000.0,557.0,"Casa en Fraccionamiento Montecristo, Mérida",4.0,3.0,san antonio cinta
,casa en venta en tamara residencial propiedad de lujo,easybroker,,,,2024-02-21 13:04:12.121546,21.1047113,-89.6324616,14800000.0,450.0,"Casa en Santa María Yaxché, Mérida",6.0,5.0,
,townhouse en venta residencial seremos en dzitya merida,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.054785802,-89.6570205688,2790000.0,130.0,"Casa en Dzityá, Mérida",2.0,2.0,dzitya
,casa en preventa en dzitya 3 recamaras con alberca,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3600000.0,230.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,casa en venta en merida paseos del country mayo 2023,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,8450000.0,320.0,"Casa en Yucatán Country Club, Mérida",4.0,4.0,
,casa venta merida temozon nte lujosa esquina 1972 m2 zona exclusiva mayab.,easybroker,maya,,,2024-02-21 13:04:12.121546,21.0511011379,-89.612903595,41000000.0,280.23,"Casa en Temozon Norte, Mérida",6.0,5.0,temozon norte
,casa en venta en merida sodzil norte entrega inmediata,easybroker,sodzil norte,,,2024-02-21 13:04:12.121546,21.0441317,-89.6216334,15000000.0,500.0,"Casa en Sodzil Norte, Mérida",3.0,3.0,sodzil norte
,casa en venta suntori temozon norte entrega inmediata,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.0712054786,-89.6121311188,5790000.0,316.0,"Casa en Temozon Norte, Mérida",5.0,4.0,x canatun
,casa en preventa en cholul meridaprivada capri,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0430105772,-89.5447540283,3220000.0,186.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en venta en merida san ramon norte entrega inmediata.,easybroker,san ramon norte,,,2024-02-21 13:04:12.121546,21.0232361,-89.6075053,32000000.0,770.0,"Casa en San Ramon Norte, Mérida",7.0,4.0,benito juarez norte
,casa venta merida restauradabarrio san cristobal amuebladalista para habitar,easybroker,,,,2024-02-21 13:04:12.121546,20.9579229681,-89.6173024178,6650000.0,143.0,"Casa en Mérida Centro, Mérida",2.0,2.0,san cristobal
,casas en preventa con alberca en temozon norte oku urban homes,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4100000.0,230.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en venta en merida con  alberca privada kinishamenidades,easybroker,,,,2024-02-21 13:04:12.121546,21.059191259,-89.5639861115,5200000.0,264.0,"Casa en Cholul, Mérida",5.0,4.0,
,casa en venta privada tamara con amenidades entrega marzo 2023,easybroker,,,,2024-02-21 13:04:12.121546,21.1038792441,-89.6304988861,7700000.0,320.0,"Casa en Komchen, Mérida",3.0,3.0,
,casa de lujo en preventa privada nortemerida enero 2024,easybroker,,,,2024-02-21 13:04:12.121546,21.1060412252,-89.6455192566,11990000.0,560.0,"Casa en Komchen, Mérida",4.0,4.0,komchen
,hermosa casa en venta en merida centro mod. kin amueblada entrega inmediata,easybroker,merida centro,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,7200000.0,290.0,"Casa en Mérida Centro, Mérida",5.0,5.0,centro
,casas en venta privada dzitya ceres con amenidades y vigilancia,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0550974497,-89.6496605925,3650000.0,152.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,casa en preventa  exclusiva  en privada compostela marzo 24,easybroker,,,,2024-02-21 13:04:12.121546,21.1201464,-89.6012859,14000000.0,420.0,"Casa en Yucatán Country Club, Mérida",5.0,4.0,
,casas en venta en altavista dzitya entrega inmediata,easybroker,altavista,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4100000.0,253.5,"Casa en Dzityá, Mérida",4.0,4.0,dzitya
,casa en venta en dzitya  andae entrega inmediata,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0651584427,-89.6697234522,2600000.0,150.0,"Casa en San Antonio Residencial, Mérida",2.0,2.0,san antonio ool
,casa en prventa privada margaritas 190 octubre  2023,easybroker,,,,2024-02-21 13:04:12.121546,21.0309938,-89.6336068,4920000.0,275.0,"Casa en Las Margaritas de Cholul, Mérida",5.0,4.0,xcumpich
,casa en venta en alera dzitya  3  recamaras  2 precio especial nov 23,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0546256011,-89.6647453308,3700000.0,175.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,residencia en venta en  country club amanha con  alberca y roofgarden,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,18305962.98,375.0,"Casa en Yucatán Country Club, Mérida",4.0,3.0,
,venta casa en caucel remodelada,easybroker,caucel,,,2024-02-21 13:04:12.121546,21.0201875,-89.6604116,1900000.0,,"Casa en Caucel, Mérida",,2.0,magnolias
,casa en preventa milea residencial zona country club,easybroker,,,,2024-02-21 13:04:12.121546,21.1029183538,-89.6147918701,4187000.0,217.5,"Casa en Yucatán Country Club, Mérida",4.0,3.0,
,casa en venta en privada ceres city homedzitya con amenidades,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0550974497,-89.6496605925,3650000.0,176.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,casas en preventa con alberca en temozon norte oku urban homes,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4100000.0,230.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en venta privada fontana entrega inmediata excelente ubicacion,easybroker,,,,2024-02-21 13:04:12.121546,21.0517393,-89.5904383,8500000.0,320.0,"Casa en Santa Gertrudis Copo, Mérida",6.0,5.0,temozon norte
,casa en venta en merida conkalzendera nov 2023,easybroker,,,,2024-02-21 13:04:12.121546,,,4380000.0,251.35,"Casa en Cholul, Mérida",4.0,3.0,
,casa en preventa albare smart homes meridatemozon norteentrega 2024,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4980000.0,256.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,hermosa casa en venta en cumbres dzitya merida,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,7500000.0,473.0,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,casa en preventa en cumbres 2 dzitya en merida modelo c 2plantas entregaoct 23,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,6100000.0,465.43,"Casa en Dzityá, Mérida",6.0,4.0,dzitya
,casa en preventa en dzitya merida cumbres modelo a 1 planta oct 2023,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5100000.0,313.33,"Casa en Dzityá, Mérida",5.0,3.0,dzitya
,casa en venta en el centro de merida ideal para remodelacion,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,7500000.0,205.8,"Casa en Mérida Centro, Mérida",,3.0,centro
,casa en venta en merida  con 3 recamaras y alberca chacte dzitya.,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0458943918,-89.660282135,4995000.0,237.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,en venta casa en chacte residencialmodelo b en dzitya merida,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0475365391,-89.6635003725,4795000.0,224.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,villas en venta en  ajal en dzityaequipadas con alberca,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0659794123,-89.6625137329,3485000.0,172.0,"Casa en Dzityá, Mérida",2.0,2.0,dzitya
,casa en venta privada blanca pre venta dic,easybroker,,,,2024-02-21 13:04:12.121546,21.1248143,-89.7297795,4000000.0,240.0,"Casa en Sierra Papacal, Mérida",3.0,3.0,
,townhouse en venta en temozon merida cerca de universidades y escuelas,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,3150000.0,167.0,"Casa en Temozon Norte, Mérida",2.0,2.0,x canatun
,hermosa casa en venta en el centro de la ciudad totalmente remodelada .lista,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,8100000.0,288.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,casa en preventa en cumbres 2 dzitya modelo b  1 planta entrega oct 23,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5200000.0,330.73,"Casa en Dzityá, Mérida",5.0,3.0,dzitya
,casa en venta 1 piso en dzitya febrero 2024,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5450000.0,325.08,"Casa en Dzityá, Mérida",5.0,3.0,dzitya
,casa en venta  en el centro merida para remodelar 507m2,easybroker,,,,2024-02-21 13:04:12.121546,20.9949381,-89.5789172,9500000.0,507.0,"Casa en Centro Sct Yucatán, Mérida",,,brisas del norte
,casa en venta en dzitya  cristal entrega inmediata  3 recamaras,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0539576132,-89.6677864969,4100000.0,328.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casas en venta dzitya zona diamante smart home con alberca. preventa.,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0462348385,-89.6701526642,3150000.0,194.0,"Casa en Dzityá, Mérida",4.0,4.0,dzitya
,casa en venta en dzitya casa adriana 3 recamarasoctubre 23,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4900000.0,277.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa  de lujo en venta privada soluna entrega inmediata,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,21500000.0,525.0,"Casa en Temozon Norte, Mérida",4.0,3.0,x canatun
,casa en preventa en privada nortemerida casa nova,easybroker,,,,2024-02-21 13:04:12.121546,21.1030877,-89.6613591,7987000.0,325.0,"Casa en Komchen, Mérida",4.0,4.0,komchen
,casa para remodelar cerca del centro de merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,1750000.0,78.0,"Casa en Mérida Centro, Mérida",2.0,3.0,centro
,casa en venta en temozon norte townhouse  sabbia,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,2999000.0,140.0,"Casa en Temozon Norte, Mérida",2.0,2.0,x canatun
,hermosa residencia en monte bello,easybroker,,,,2024-02-21 13:04:12.121546,21.0306572,-89.5945502,13000000.0,585.0,"Casa en Montebello, Mérida",4.0,4.0,montebello
,casa en venta de una planta en esquina en colonia bojorquez en merida.,easybroker,bojorquez,,,2024-02-21 13:04:12.121546,20.9771327,-89.6510504,1950000.0,173.0,"Casa en Bojorquez, Mérida",2.0,3.0,bojorquez
,casa en venta esquina bardeda  con terreno excedentecaucelmerida.,easybroker,caucel,,,2024-02-21 13:04:12.121546,20.9975629309,-89.7284316204,1400000.0,74.23,"Casa en Ciudad Caucel, Mérida",,2.0,ciudad caucel
,venta casa en desarrollo residencial  provincia,easybroker,,,,2024-02-21 13:04:12.121546,21.1154094455,-89.6712684631,27000000.0,551.07,"Casa en Komchen, Mérida",4.0,4.0,
,venta casa  3 recamaras cd. caucel,easybroker,caucel,,,2024-02-21 13:04:12.121546,20.9921202,-89.6957222,2300000.0,135.0,"Casa en Ciudad Caucel, Mérida",3.0,3.0,ciudad caucel
,casa en venta en privada la rejoyada en komchen merida.,easybroker,la rejoyada,,,2024-02-21 13:04:12.121546,21.1030877,-89.6613591,6900000.0,376.0,"Casa en Komchen, Mérida",5.0,4.0,komchen
,casa chixculub,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,3700000.0,125.0,"Casa en Chicxulub Puerto, Mérida",2.0,2.0,lazaro cardenas
,casa en santiago  para remodelar,easybroker,,,,2024-02-21 13:04:12.121546,20.9723246622,-89.6331757927,6500000.0,248.8,"Casa en Mérida Centro, Mérida",2.0,2.0,santiago
,bonita casa en venta recien remodelada en col. camara de la construccion.,easybroker,camara de la construccion,,,2024-02-21 13:04:12.121546,,,1415000.0,160.0,"Casa en Camara de La Construcción, Mérida",,2.0,
,preciosas casas en privada en la zonna de temozon,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,6400000.0,256.0,"Casa en Temozon Norte, Mérida",4.0,3.0,x canatun
,bella casa en la itzaes,easybroker,itzaes,,,2024-02-21 13:04:12.121546,20.9635435508,-89.6432878415,2500000.0,184.65,"Casa en Mérida Centro, Mérida",,,centro
,casa en venta de 4 recamaras en privada albarella cholul merida.,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4250000.0,241.0,"Casa en Cholul, Mérida",4.0,4.0,cholul
,venta casa de 4 recamaras equipada en privada nortemerida,easybroker,,,,2024-02-21 13:04:12.121546,21.1030877,-89.6613591,11990000.0,560.0,"Casa en Komchen, Mérida",6.0,4.0,komchen
,renta amplia casa en temozon,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,6500000.0,470.0,"Casa en Temozon Norte, Mérida",5.0,4.0,x canatun
,venta departamento adamant piso 17,easybroker,,,,2024-02-21 13:04:12.121546,,,3490000.0,,"Casa en Cabo Norte, Mérida",,,
,venta casa en col. maya,easybroker,maya,,,2024-02-21 13:04:12.121546,21.017202,-89.5768772,8550000.0,,"Casa en Maya, Mérida",4.0,4.0,maya
,departamentos en preventa bosco temozon,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,1696000.0,44.0,"Casa en Temozon Norte, Mérida",,,x canatun
,casa en chuburna en exclusiva,easybroker,,,,2024-02-21 13:04:12.121546,21.0053951,-89.6263416,2500000.0,180.0,"Casa en Chuburna de Hidalgo, Mérida",,3.0,chuburna de hidalgo
,americas  4 habitaciones,easybroker,,,,2024-02-21 13:04:12.121546,,,2500000.0,188.0,"Casa en Las Américas, Mérida",2.0,4.0,
,casa para remodelar en montes de ame,easybroker,montes de ame,,,2024-02-21 13:04:12.121546,21.0307114,-89.6181018,4100000.0,237.0,"Casa en Montes de Ame, Mérida",2.0,4.0,benito juarez norte
,casa en preventa nove en dzitya yucatan.,easybroker,yucatan,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5800000.0,353.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa de 3 recamaras en privada residencial fec,easybroker,,,,2024-02-21 13:04:12.121546,,,3795000.0,172.38,"Casa en Cholul, Mérida",3.0,3.0,
,casa venta jesus carranza merida,easybroker,jesus carranza,,,2024-02-21 13:04:12.121546,20.9844896,-89.6075053,9690000.0,420.0,"Casa en Jesús Carranza, Mérida",4.0,5.0,jesus carranza
,hermosa residencia en la colonia garcia gineres,easybroker,garcia gineres,,,2024-02-21 13:04:12.121546,20.9956499579,-89.6342754644,9200000.0,558.0,"Casa en Garcia Gineres, Mérida",4.0,4.0,garcia gineres
,casa en venta ubicada en san ramon norte,easybroker,san ramon norte,,,2024-02-21 13:04:12.121546,21.0232361,-89.6075053,9200000.0,,"Casa en San Ramon Norte, Mérida",2.0,3.0,benito juarez norte
,lotes residenciales en condominio ubicados en la zona country de merida,easybroker,,,,2024-02-21 13:04:12.121546,21.014198,-89.5674483,910755.19,199.77,"Casa en Jardines Del Norte, Mérida",,,los pinos
,casa en esquina en venta,easybroker,,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4750000.0,275.5,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,residencia en venta amueblada en club de golf la ceiba,easybroker,club de golf la ceiba,,,2024-02-21 13:04:12.121546,,,18000000.0,800.0,"Casa en Club de Golf La Ceiba, Mérida",5.0,5.0,
,casas en venta cerca de paseo de montejo,easybroker,montejo,,,2024-02-21 13:04:12.121546,20.983862,-89.6179101,7700000.0,140.3,"Casa en Paseo de Montejo, Mérida",3.0,2.0,alcala martin
,fabulosa casa a la venta en vista alegre,easybroker,vista alegre,,,2024-02-21 13:04:12.121546,21.0105204,-89.5868928,3280000.0,160.0,"Casa en Vista Alegre, Mérida",2.0,3.0,san carlos
,casa121 en venta en privada oasis en yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,,,14950000.0,416.25,"Casa en Yucatán Country Club, Mérida",4.0,4.0,
,casa en venta priv. zante leandro valle merida,easybroker,leandro valle,,,2024-02-21 13:04:12.121546,20.996315,-89.5674483,2950000.0,146.0,"Casa en Leandro Valle, Mérida",2.0,3.0,leandro valle
,casa en venta recien remodelada en brisas al norte de merida.,easybroker,,,,2024-02-21 13:04:12.121546,20.9926231,-89.5810016,2990000.0,,"Casa en Las Brisas Del Norte, Mérida",3.0,3.0,brisas del norte
,venta de casa en santa gertrudis copo merida yuc.,easybroker,santa gertrudis copo,,,2024-02-21 13:04:12.121546,21.0381057,-89.5933722,6500000.0,290.0,"Casa en Santa Gertrudis Copo, Mérida",3.0,3.0,santa gertrudis copo
,casa con rooftop y piscina dentro de privada en temozon norte fec,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,,,3599000.0,157.0,"Casa en Temozon Norte, Mérida",2.0,2.0,
,casa de 2 recamaras dentro de privada en temozon norte fec,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,,,2999000.0,140.0,"Casa en Temozon Norte, Mérida",2.0,2.0,
,casa en venta dzitya san antonio hool,easybroker,san antonio hool,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,6360000.0,350.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,casa palmita a dos cuadras del parque santiago,easybroker,del parque,,,2024-02-21 13:04:12.121546,20.9680168226,-89.6331971884,5954044.7,220.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,casa parcialmente remodelada en el centro de merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9590350788,-89.6178881204,4000000.0,123.3,"Casa en Mérida Centro, Mérida",2.0,2.0,san cristobal
,casa amueblada de 3 recamaras en venta  merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3000000.0,146.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,excelente casa en el centro a la venta,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,4300000.0,225.94,"Casa en Mérida Centro, Mérida",2.0,2.0,centro
,fraccionamiento las nubes opichen,easybroker,las nubes,,,2024-02-21 13:04:12.121546,21.002693,-89.5769735,690000.0,85.0,"Casa en Las Nubes, Mérida",,2.0,los pinos
,casa en venta chuburna hidalgo,easybroker,,,,2024-02-21 13:04:12.121546,,,1750000.0,186.1,"Casa en Chuburna de Hidalgo, Mérida",,2.0,
,casa de una planta en venta ubicada en la ceiba,easybroker,la ceiba,,,2024-02-21 13:04:12.121546,21.0913888,-89.6294444,13500000.0,432.55,"Casa en La Ceiba, Mérida",5.0,3.0,
,casa en venta en club de golf la ceiba merida 3 recamaras piscina,easybroker,club de golf la ceiba,,,2024-02-21 13:04:12.121546,,,7000000.0,280.0,"Casa en Club de Golf La Ceiba, Mérida",4.0,3.0,
