desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia
Idilia,casas en conkal,goodlers,,1950000.0,2405000.0,2024-02-21 12:48:26.865295,21.068801,-89.552931,,,,,,
Návita Residencial,casas en santa gertrudis copo,goodlers,santa gertrudis copo,5000000.0,6170000.0,2024-02-21 12:48:26.865295,21.044982,-89.595813,,,,,,
Aldoria,casas en conkal,goodlers,,2705000.0,3220000.0,2024-02-21 12:48:26.865295,21.056932,-89.543851,,,,,,
Amares Townhouses,townhouses en montes de ame,goodlers,montes de ame,1850000.0,1850000.0,2024-02-21 12:48:26.865295,21.028494,-89.612687,,,,,,
Bosqüa Smart Homes & Apts.,departamentos y townhouses en campestre,goodlers,campestre,1662000.0,2822000.0,2024-02-21 12:48:26.865295,,,,,,,,
Paraíso Santa Fe,casas en caucel,goodlers,caucel,1500000.0,1950000.0,2024-02-21 12:48:26.865295,21.016757,-89.684677,,,,,,
Chaactún - Alzano 79,casas en chablekal,goodlers,chablekal,5500000.0,5500000.0,2024-02-21 12:48:26.865295,21.11223,-89.622429,,,,,,
Botanico Conkal,casas en conkal,goodlers,,2800000.0,4973000.0,2024-02-21 12:48:26.865295,21.078277,-89.524667,,,,,,
Almasur,casas en fraccionamiento del sur,goodlers,del sur,991000.0,1757800.0,2024-02-21 12:48:26.865295,20.923507,-89.612086,,,,,,
RM Villas,casas en temozon norte,goodlers,temozon norte,3245000.0,3245000.0,2024-02-21 12:48:26.865295,21.051986,-89.60949,,,,,,
Arbelia Residencial,casas en conkal,goodlers,,3490000.0,3690000.0,2024-02-21 12:48:26.865295,21.050444,-89.506986,,,,,,
Boreana Residencial,casas en cholul,goodlers,cholul,3200000.0,4325000.0,2024-02-21 12:48:26.865295,20.967394,-89.624231,,,,,,
Pedregales de Misné balám,casas en misne balam,goodlers,,1340000.0,2900000.0,2024-02-21 12:48:26.865295,21.171149,-89.606722,,,,,,
Xcanatún Townhouses,townhouses en xcanatun,goodlers,xcanatun,3190000.0,5150000.0,2024-02-21 12:48:26.865295,21.082181,-89.6379,,,,,,
Nava Townhouses,townhouses en dzitya,goodlers,dzitya,2850000.0,2850000.0,2024-02-21 12:48:26.865295,21.080579,-89.652287,,,,,,
Unno Townhouse,townhouses en temozon norte,goodlers,temozon norte,3790000.0,3790000.0,2024-02-21 12:48:26.865295,21.068936,-89.59742,,,,,,
Sabbia Townhouse,townhouses en temozon norte,goodlers,temozon norte,2999000.0,3749000.0,2024-02-21 12:48:26.865295,21.075934,-89.615863,,,,,,
Milea,departamentos y casas en zona country,goodlers,,2020000.0,4187000.0,2024-02-21 12:48:26.865295,21.106465,-89.630754,,,,,,
Vitela Copó,townhouses en santa gertrudis copo,goodlers,santa gertrudis copo,2895000.0,2895000.0,2024-02-21 12:48:26.865295,21.037744,-89.594791,,,,,,
Casa Seis Temozón,casas en temozon norte,goodlers,temozon norte,5760000.0,6540000.0,2024-02-21 12:48:26.865295,21.074072,-89.623888,,,,,,
Dzityá 8,casas en dzitya,goodlers,dzitya,3600000.0,3600000.0,2024-02-21 12:48:26.865295,20.967394,-89.624231,,,,,,
Gran Santa Fe Norte,casas en caucel,goodlers,caucel,2316000.0,4100000.0,2024-02-21 12:48:26.865295,20.967394,-89.624231,,,,,,
Varena Living Residencias,casas en tixcuytun,goodlers,tixcuytun,3290000.0,3990000.0,2024-02-21 12:48:26.865295,21.051044,-89.570866,,,,,,
,townhouses en santa rita cholul,easybroker,santa rita cholul,,,2024-02-21 13:04:12.121546,21.0320929,-89.572163,3050000.0,163.56,"Casa en Santa Rita Cholul, Mérida",2.0,2.0,cholul
,casa en venta la herradura 2 caucel,easybroker,caucel,,,2024-02-21 13:04:12.121546,21.0461971,-89.6205885,1280000.0,,"Casa en La Herradura II, Mérida",,2.0,sodzil norte
,casa en real montejo,easybroker,real montejo,,,2024-02-21 13:04:12.121546,21.0382682,-89.6686901,3500000.0,292.0,"Casa en Real Montejo, Mérida",2.0,3.0,dzitya
,venta de casa en el norte de merida  cabo norte,easybroker,cabo norte,,,2024-02-21 13:04:12.121546,21.052207548,-89.5909255733,8500000.0,320.0,"Casa en Cabo Norte, Mérida",6.0,4.0,temozon norte
,altabrisa,easybroker,altabrisa,,,2024-02-21 13:04:12.121546,20.9716143,-89.5979366,3850000.0,,"Casa en Maya, Mérida",2.0,4.0,lazaro cardenas
,laja  casas en temozon norte a un costado de carretera merida a progreso,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,3695500.0,115.0,"Casa en Temozon Norte, Mérida",2.0,2.0,x canatun
,casa en montecristo 1 planta,easybroker,montecristo,,,2024-02-21 13:04:12.121546,21.015357,-89.5987182,4100000.0,210.0,"Casa en Fraccionamiento Montecristo, Mérida",3.0,2.0,montecristo
,casa 2 niveles 3 hab una en p.b  2.5 banos poniente,easybroker,,,,2024-02-21 13:04:12.121546,20.9779048,-89.6645749,2300000.0,198.46,"Casa en Bosques Del Poniente, Mérida",2.0,3.0,bosques del poniente
,casa en montebello,easybroker,montebello,,,2024-02-21 13:04:12.121546,21.015357,-89.5987182,8300000.0,382.0,"Casa en Fraccionamiento Montecristo, Mérida",4.0,3.0,montecristo
,venta de casa amueblada en ciudad caucel,easybroker,ciudad caucel,,,2024-02-21 13:04:12.121546,20.9921202,-89.6957222,830000.0,,"Casa en Ciudad Caucel, Mérida",,,ciudad caucel
,casa en venta gran san pedro cholul al norte de merida,easybroker,gran san pedro cholul,,,2024-02-21 13:04:12.121546,21.0238938803,-89.5459663868,2677000.0,123.65,"Casa en Gran San Pedro Cholul, Mérida",2.0,3.0,cholul
,casa en venta  residencial soluna,easybroker,,,,2024-02-21 13:04:12.121546,21.0961842,-89.5756987,21500000.0,525.0,"Casa en Chablekal, Mérida",3.0,3.0,chablekal
,casa xtacay en venta yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,15500000.0,500.0,"Casa en Yucatán Country Club, Mérida",3.0,3.0,
,casa en juan pablo ii,easybroker,juan pablo ii,,,2024-02-21 13:04:12.121546,20.9850088,-89.6778008,850000.0,,"Casa en Juan Pablo II, Mérida",,2.0,juan pablo ii secc merida 2000
,casa en lindavista,easybroker,lindavista,,,2024-02-21 13:04:12.121546,21.0076957,-89.6575193,1400000.0,180.0,"Casa en Lindavista, Mérida",,2.0,lindavista
,hermoso townhouse en temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,,,4200000.0,210.0,"Casa en Temozon Norte, Mérida",3.0,3.0,
,casa en venta en merida en privada parque central en cholul,easybroker,parque central,,,2024-02-21 13:04:12.121546,21.0424858,-89.5568382,5600000.0,280.0,"Casa en Cholul, Mérida",4.0,3.0,cholul
,noroasis temozon living,easybroker,,,,2024-02-21 13:04:12.121546,21.0574391043,-89.6291684745,6400000.0,255.28,"Casa en Temozon Norte, Mérida",5.0,4.0,x canatun
,casa en venta  soluna,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,19500000.0,698.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en venta en merida patio carey temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,3831668.0,205.0,"Casa en Temozon Norte, Mérida",3.0,2.0,x canatun
,hermosas casas cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,20.9716557,-89.5897931,5750000.0,280.0,"Casa en Cholul, Mérida",3.0,3.0,lazaro cardenas
,venta de townhouses privada xkanatun,easybroker,,,,2024-02-21 13:04:12.121546,21.0861017629,-89.6431159973,3780000.0,190.93,"Casa en Xcanatún, Mérida",2.0,2.0,las americas ii
,venta de townhouses privada xkanatun,easybroker,,,,2024-02-21 13:04:12.121546,21.0856613028,-89.6430301666,3680000.0,156.81,"Casa en Xcanatún, Mérida",2.0,2.0,las americas ii
,venta de townhouses privada xkanatun,easybroker,,,,2024-02-21 13:04:12.121546,21.0853810093,-89.6427726746,3190000.0,190.58,"Casa en Xcanatún, Mérida",2.0,2.0,las americas ii
,casa en dzitya lote 8,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3600000.0,220.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,venta residencia amplia en privada nortemerida 4 hab 5 banos en merida,easybroker,,,,2024-02-21 13:04:12.121546,21.1072261,-89.6669275,14900000.0,580.0,"Casa en Komchen, Mérida",5.0,4.0,komchen
,venta casa en santiago centro merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,3100000.0,153.0,"Casa en Mérida Centro, Mérida",,2.0,centro
,casa en chuburna inn,easybroker,chuburna inn,,,2024-02-21 13:04:12.121546,21.0206912,-89.6360505,1790000.0,120.6,"Casa en Chuburna Inn, Mérida",,2.0,chuburna
,residencia de lujo en venta  en fracc. montecristo una planta,easybroker,montecristo,,,2024-02-21 13:04:12.121546,,,13400000.0,557.0,"Casa en Fraccionamiento Montecristo, Mérida",4.0,3.0,
,preventa casa de lujo en cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0477267867,-89.5329415856,5500000.0,266.0,"Casa en Cholul, Mérida",4.0,3.0,
,casa en renta en real montejo,easybroker,real montejo,,,2024-02-21 13:04:12.121546,,,4800000.0,,"Casa en Real Montejo, Mérida",4.0,3.0,
,casa en venta  chicxulub a 150m del mar  entrega inmediata,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,3650000.0,250.0,"Casa en Chicxulub Puerto, Mérida",3.0,4.0,lazaro cardenas
,casa en venta chicxulub  entrega inmediata,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,4800000.0,185.0,"Casa en Chicxulub Puerto, Mérida",3.0,3.0,lazaro cardenas
,casa en venta  chicxulub  a 150 m del mar entrega inmediata,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,13800000.0,250.0,"Casa en Chicxulub Puerto, Mérida",3.0,4.0,lazaro cardenas
,casa en venta sobre avenida ubicada en altabrisa,easybroker,altabrisa,,,2024-02-21 13:04:12.121546,21.0181029,-89.5842429,4650000.0,442.99,"Casa en Altabrisa, Mérida",6.0,4.0,san carlos
,casa en venta ubicada en temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,3650000.0,232.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en venta paseos de opichen  entrega inmediata,easybroker,paseos de opichen,,,2024-02-21 13:04:12.121546,20.9404355,-89.6841407,2300000.0,,"Casa en Diamante Paseos de Opichen, Mérida",,2.0,opichen
,casa grande en venta bosques de poniente merida. acepto creditos,easybroker,,,,2024-02-21 13:04:12.121546,,,4276020.0,115.0,"Casa en Bosques Del Poniente, Mérida",2.0,3.0,
,casa 4 habitaciones en privada cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,2750000.0,257.0,"Casa en Cholul, Mérida",4.0,4.0,cholul
,towhouse en venta col. mexico norte  entrega inmediata,easybroker,mexico norte,,,2024-02-21 13:04:12.121546,21.0142891,-89.6051502,2350000.0,123.5,"Casa en México Norte, Mérida",2.0,2.0,mexico norte
,departamento amueblado en venta en santa gertrudis copo,easybroker,santa gertrudis copo,,,2024-02-21 13:04:12.121546,21.0381057,-89.5933722,4770000.0,90.0,"Casa en Santa Gertrudis Copo, Mérida",2.0,2.0,santa gertrudis copo
,casa 4 recamaras con  alberca en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4400000.0,208.0,"Casa en Dzityá, Mérida",4.0,4.0,dzitya
,casa en preventa remodelada en el centro de merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,3200000.0,150.68,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,casa en venta en merida bugambilias,easybroker,bugambilias,,,2024-02-21 13:04:12.121546,21.0262791,-89.6357563,2915000.0,220.0,"Casa en Bugambilias, Mérida",2.0,3.0,bugambilias
,departamento natum,easybroker,,,,2024-02-21 13:04:12.121546,21.0381057,-89.5933722,14000000.0,,"Casa en Santa Gertrudis Copo, Mérida",2.0,2.0,santa gertrudis copo
,casa en venta en bosques del poniente,easybroker,bosques del poniente,,,2024-02-21 13:04:12.121546,20.9779048,-89.6645749,2300000.0,115.0,"Casa en Bosques Del Poniente, Mérida",2.0,3.0,bosques del poniente
